Date,Price
2023-03-07,75.19499969482422
2023-03-08,71.60791015625
2023-03-09,68.68196105957031
2023-03-10,68.34651184082031
2023-03-11,67.39131164550781
2023-03-12,72.97100830078125
2023-03-13,76.14396667480469
2023-03-14,79.33430480957031
2023-03-15,74.01226043701172
2023-03-16,75.06269073486328
2023-03-17,80.65516662597656
2023-03-18,77.7930908203125
2023-03-19,79.60066986083984
2023-03-20,76.16152954101562
2023-03-21,79.04020690917969
2023-03-22,75.31539154052734
2023-03-23,77.26307678222656
2023-03-24,73.0860595703125
2023-03-25,71.37751770019531
2023-03-26,72.92498016357422
2023-03-27,69.77041625976562
2023-03-28,70.67874908447266
2023-03-29,72.83439636230469
2023-03-30,71.31591033935547
2023-03-31,74.19947814941406
2023-04-01,73.94157409667969
2023-04-02,73.05827331542969
2023-04-03,73.70553588867188
2023-04-04,76.40062713623047
2023-04-05,78.30919647216797
2023-04-06,80.447021484375
2023-04-07,78.36397552490234
2023-04-08,76.33924865722656
2023-04-09,76.33765411376953
2023-04-10,78.4019775390625
2023-04-11,79.12886047363281
2023-04-12,78.91651916503906
2023-04-13,81.19037628173828
2023-04-14,82.65309143066406
2023-04-15,82.6897201538086
2023-04-16,83.36431121826172
2023-04-17,81.02398681640625
2023-04-18,81.88467407226562
2023-04-19,74.03285217285156
2023-04-20,72.40896606445312
2023-04-21,69.10818481445312
2023-04-22,70.81204986572266
2023-04-23,70.27293395996094
2023-04-24,69.86111450195312
2023-04-25,71.21302795410156
2023-04-26,69.41936492919922
2023-04-27,71.41261291503906
2023-04-28,72.12617492675781
2023-04-29,71.83302307128906
2023-04-30,70.58737182617188
2023-05-01,68.92102813720703
2023-05-02,69.18663024902344
2023-05-03,71.70386505126953
2023-05-04,70.83146667480469
2023-05-05,73.48530578613281
2023-05-06,69.91590881347656
2023-05-07,68.83363342285156
2023-05-08,64.61923217773438
2023-05-09,64.48516845703125
2023-05-10,64.75016021728516
2023-05-11,62.36529541015625
2023-05-12,63.185306549072266
2023-05-13,62.1947021484375
2023-05-14,62.25667572021485
2023-05-15,62.8201789855957
2023-05-16,62.84452438354492
2023-05-17,64.82263946533203
2023-05-18,65.12115478515625
2023-05-19,65.34812927246094
2023-05-20,65.22281646728516
2023-05-21,63.9402961730957
2023-05-22,64.35025787353516
2023-05-23,65.4327621459961
2023-05-24,63.98150253295898
2023-05-25,63.49483489990234
2023-05-26,64.64385986328125
2023-05-27,65.65706634521484
2023-05-28,69.09027099609375
2023-05-29,67.3821792602539
2023-05-30,66.70425415039062
2023-05-31,63.8609504699707
2023-06-01,62.711891174316406
2023-06-02,63.72745513916016
2023-06-03,63.53456497192383
2023-06-04,62.80410003662109
2023-06-05,59.97867202758789
2023-06-06,61.85242462158203
2023-06-07,59.10087585449219
2023-06-08,59.83379364013672
2023-06-09,59.99696731567383
2023-06-10,52.74972915649414
2023-06-11,52.17977523803711
2023-06-12,53.71510314941406
2023-06-13,55.04844284057617
2023-06-14,52.083744049072266
2023-06-15,50.13833618164063
2023-06-16,50.66421890258789
2023-06-17,51.123138427734375
2023-06-18,50.94014739990234
2023-06-19,51.82290649414063
2023-06-20,53.07868194580078
2023-06-21,55.07840347290039
2023-06-22,55.535621643066406
2023-06-23,57.05362319946289
2023-06-24,57.11919403076172
2023-06-25,68.89068603515625
2023-06-26,63.37263488769531
2023-06-27,64.92048645019531
2023-06-28,59.47410583496094
2023-06-29,63.10277557373047
2023-06-30,70.4219741821289
2023-07-01,68.14192962646484
2023-07-02,70.69767761230469
2023-07-03,72.89274597167969
2023-07-04,77.06547546386719
2023-07-05,74.71778869628906
2023-07-06,70.76668548583984
2023-07-07,74.78521728515625
2023-07-08,73.57691955566406
2023-07-09,71.97830200195312
2023-07-10,69.3715591430664
2023-07-11,73.38097381591797
2023-07-12,75.68138122558594
2023-07-13,79.11297607421875
2023-07-14,81.32061004638672
2023-07-15,78.92781829833984
2023-07-16,76.7879638671875
2023-07-17,75.1045913696289
2023-07-18,72.01964569091797
2023-07-19,71.79879760742188
2023-07-20,72.43560791015625
2023-07-21,74.34434509277344
2023-07-22,71.69112396240234
2023-07-23,72.3389892578125
2023-07-24,70.2786865234375
2023-07-25,70.1322021484375
2023-07-26,72.00818634033203
2023-07-27,72.36713409423828
2023-07-28,72.86422729492188
2023-07-29,74.43269348144531
2023-07-30,70.9088363647461
2023-07-31,65.32415771484375
2023-08-01,65.45803833007812
2023-08-02,64.62614440917969
2023-08-03,63.02620315551758
2023-08-04,64.11710357666016
2023-08-05,64.36886596679688
2023-08-06,65.79864501953125
2023-08-07,64.84290313720703
2023-08-08,66.29135131835938
2023-08-09,67.33766174316406
2023-08-10,67.01690673828125
2023-08-11,65.91248321533203
2023-08-12,66.11673736572266
2023-08-13,65.6756362915039
2023-08-14,65.4951400756836
2023-08-15,63.530799865722656
2023-08-16,60.30945587158203
2023-08-17,55.54660034179688
2023-08-18,55.8234977722168
2023-08-19,56.51807022094727
2023-08-20,57.10759353637695
2023-08-21,55.63636016845703
2023-08-22,54.87173843383789
2023-08-23,57.097259521484375
2023-08-24,57.3580207824707
2023-08-25,56.88608932495117
2023-08-26,56.64154052734375
2023-08-27,58.23160552978516
2023-08-28,58.26228713989258
2023-08-29,59.52285385131836
2023-08-30,57.763816833496094
2023-08-31,55.51651382446289
2023-09-01,54.53407669067383
2023-09-02,55.1143684387207
2023-09-03,54.77138900756836
2023-09-04,54.64795684814453
2023-09-05,55.44741821289063
2023-09-06,55.118900299072266
2023-09-07,56.2093505859375
2023-09-08,56.45820617675781
