,Index,0,1,2,3,4,5,6,7,8,9,Cluster
0,AAVE-USD,-3.7544129029042366,-0.011702802198271963,-0.0003391546296284331,-0.009079671852849735,-0.011396391482954514,-0.00335448943185759,0.010953058602697456,0.0054778694781123976,0.012689177044566596,0.004796082328793405,3
1,ADA-USD,-3.9950363385333243,-0.021552704660745596,0.00038532994918593814,-0.002866919096781809,-0.0005265454247610602,0.0011673241577697603,-0.0024102496685426897,-0.00020693495868217554,-0.0012340826019832715,-0.0006090687535649539,0
2,ALGO-USD,-3.995730070574874,-0.021519641690480807,0.0003812898183410022,-0.002931682686709856,-0.0005205020308068468,0.0011530100403395953,-0.0023836383446993333,-0.00018974680795593208,-0.001264480809485716,-0.000626736430076026,0
3,APT21794-USD,-3.9700002573883046,-0.015464312324813684,0.0004570694427833225,-0.0011853334134337827,-0.004451227342278683,-4.171865652860979e-05,0.0006331370672080642,0.00029015162731314576,-0.0005768356835714882,0.0008473205157697155,0
4,ASTR-USD,-3.995981950243354,-0.021633365406126738,0.00037895318671818043,-0.0029313251916414144,-0.0004365369200798691,0.0011618852937606674,-0.0024216470769596607,-0.00022737680753387703,-0.0012664514643245302,-0.0006627160540446039,0
5,ATOM-USD,-3.9656586360074315,-0.014875663720370504,0.0002680366694309324,-0.0023151813525032253,-0.0034988236116271117,0.00047440272835373937,-0.0004350701247649657,0.0010002056003339868,-0.0006013137481874342,0.0005908257941191996,0
6,AVAX-USD,-3.9381343155070336,-0.027844380255561543,0.0007934866542045628,0.010151022469430768,-0.005478613791816645,0.0008416879915451979,-0.001089834679919177,-0.0017241796702804318,0.0054281029158928665,0.00503435678590767,0
7,AXS-USD,-3.9750697329541884,-0.017552544816516455,0.00040255629978420396,-0.0018204499238599124,-0.0028329235344835262,0.0004901681129717191,-0.0006650263998742225,1.2937336004280666e-05,-0.0004813706191090366,0.0005846354920083603,0
8,BCH-USD,-3.363312571832734,-0.054770152606571705,-0.009516674210386692,-0.10602695628744262,0.10982585644756007,-0.01949827930000242,0.033629510394215245,-0.008308650150947615,-0.001997324953153312,0.0004509897402471427,3
9,BGB-USD,-3.994637113890498,-0.021532692839039302,0.00037429279090356733,-0.0029607768538698048,-0.0003701314743851414,0.0011783319407060074,-0.0024539918801665954,-0.00020413993120816848,-0.0013176758298421379,-0.0007058786689050716,0
10,BLUR-USD,-3.9948565257360427,-0.021333248023452114,0.00037938912124902953,-0.0026764690311047003,-0.0006929147701049815,0.001138193487463267,-0.00232865480676908,-0.0001829169741502357,-0.0012514703996983388,-0.0005398072147939579,0
11,BNB-USD,-3.125612449848882,0.15647315453581462,0.002865435582368892,0.025034733201356324,-0.08210572896209527,-0.018960654730952053,0.045049635705599604,-0.016636094202929046,-0.007156658718204493,-0.005173590399367291,3
12,BONK-USD,-3.9962104069887343,-0.0216107501391647,0.00037723718381853385,-0.002980778704772668,-0.0004329225653782572,0.001171419975005453,-0.002434147391918418,-0.00019674133978123272,-0.0012906572272085018,-0.0006559216565153116,0
13,BSV-USD,-3.857469110398164,-0.0322560588539402,0.0005147037620097124,0.002794858637918761,-0.0010633830044364703,-0.0042953517694654135,0.004242881295123036,-0.014386063682808651,0.007990590070129524,0.004275211510328,0
14,BTC-USD,98.75598738705736,-0.050080844295850045,-0.13266020784297883,-0.0018982310105723373,-0.008968327299311471,-0.0597002492202123,-0.017818347151190694,0.00046444987965830163,1.894680358981712e-07,-0.000253166580747395,1
15,BTCB-USD,98.73742832836876,-0.05773826319792319,-0.11846300034643101,0.005375840312584511,0.0036156684798557604,0.062307779935940506,0.018069466195830077,-0.0007678566014070047,-0.00019374301823413934,0.00013146703453909044,1
16,BTT-USD,-3.9962104149030875,-0.021610740175572796,0.0003772367510923366,-0.00298078525598866,-0.0004329231153473521,0.001171419187341994,-0.0024341465394607464,-0.00019673959070106583,-0.0012906602664114414,-0.0006559241370554664,0
17,CFX-USD,-3.995521846822036,-0.021384858624020592,0.00037840599212553695,-0.0029266645864325985,-0.0005949809190985249,0.0011640230521626146,-0.002390999379062191,-0.0001963897746498973,-0.0013479266511229886,-0.0005946698299447611,0
18,CHEEL-USD,-3.9560388227972765,-0.017130687967941354,-0.00030706130103734443,-0.00488463469663456,0.0055191170955867395,0.0015691374631326962,-0.003989492360120917,-3.1958261426591476e-05,-0.00146430860908304,0.0005444259301735585,0
19,CHZ-USD,-3.995924093442015,-0.021536461273683076,0.00037834930130933403,-0.0029553638959685324,-0.0004748355015910885,0.0011604983725604773,-0.002407568541589118,-0.00019673872527285096,-0.0012953242483030247,-0.000647135924410737,0
20,CRO-USD,-3.995990387267551,-0.02160121494262124,0.0003773556548558848,-0.0029726202768707395,-0.00044791389511550324,0.0011691625262943445,-0.0024262722207136224,-0.00018769355661289996,-0.0012801523442747115,-0.0006522157231511008,0
21,DAI-USD,-3.99296927865214,-0.021046204262810075,0.00035758061369551143,-0.0032765560106607634,-0.0004750270490603022,0.0011314334583295328,-0.002332841968592326,-6.368489345766984e-05,-0.0012626296841117786,-0.0008120165872600427,0
22,DOGE-USD,-3.995970235964878,-0.021579886044553177,0.0003775172867790896,-0.0029825160353844794,-0.00044228521649277667,0.001169012532545336,-0.0024265505296108157,-0.0001894706267939397,-0.001288781806828836,-0.000652888133576037,0
